::1 - - [08/Mar/2026:08:12:46 +0000] "GET /api/v1/staff HTTP/1.1" 200 320 "-" "PostmanRuntime/7.51.1"
::1 - - [08/Mar/2026:08:13:27 +0000] "GET /api/v1/staff HTTP/1.1" 200 320 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:13:32 +0000] "GET /api/v1/staff HTTP/1.1" 200 320 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:18 +0000] "GET /api/v1/staff HTTP/1.1" 503 69 "-" "PostmanRuntime/7.51.1"
::1 - - [08/Mar/2026:08:34:17 +0000] "GET /api/v1/coupons HTTP/1.1" 503 68 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:34:17 +0000] "GET /api/v1/coupons HTTP/1.1" 503 68 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:34:18 +0000] "GET /api/v1/categories HTTP/1.1" 200 26 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:34:18 +0000] "GET /api/v1/categories HTTP/1.1" 200 26 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:34:18 +0000] "GET /api/v1/admin/banners HTTP/1.1" 503 69 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:34:18 +0000] "GET /api/v1/products?page=1&limit=12&categoryId= HTTP/1.1" 200 81 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
